id,name,latitude,longitude
7392,"South Chicago & 79th Street/Stony Island",41.752204849411,-87.586451768875
7393,"South Chicago & Harper",41.75280515053,-87.587315440178
7394,"South Chicago & Blackstone",41.753709593614,-87.588570713997
7395,"South Chicago & Dante",41.754630031455,-87.589863538742
7396,"South Chicago & Dorchester",41.755494430627,-87.591027617455
7397,"South Chicago & 76th Street",41.756694965719,-87.592744231224
7398,"South Chicago & 75th Street/Woodlawn",41.759007933351,-87.59596824646
7399,"South Chicago & 74th Street",41.76033645146,-87.597749233246
7400,"South Chicago & 73rd Street/Ellis",41.762045077389,-87.600200772285
7401,"South Chicago & Ingleside",41.763509577689,-87.602137327194
7403,"South Chicago & 71st Street/Cottage Grove",41.765646247674,-87.605173587799
7404,"South Chicago & 71st Street/Cottage Grove",41.766298438008,-87.606090903282
7405,"South Chicago & 69th Place",41.767942888497,-87.608419060707
7406,"South Chicago & 69th Street",41.769239213914,-87.610205411911
7408,"69th Street & Anthony",41.7694392618,-87.613762021065
7409,"69th Street & King Drive",41.769367244633,-87.615247964859
7410,"69th Street & Calumet",41.769339237935,-87.616782188416
7411,"69th Street & Prairie",41.769307230266,-87.618412971497
7412,"69th Street & Indiana",41.769283224503,-87.620075941086
7413,"69th Street & Michigan",41.769239213914,-87.621658444405
7414,"69th Street & Wabash",41.769211207161,-87.623262405396
7415,"35th Street & Western Avenue",41.830312833474,-87.685409188271
7416,"35th Street & Artesian",41.830296844862,-87.686294317245
7417,"35th Street & Maplewood",41.830244881843,-87.688697576523
7418,"35th Street & Rockwell",41.830216901739,-87.689824104309
7419,"35th Street & Washtenaw",41.830168935817,-87.692420482635
7429,"31st Street & Lawndale",41.837067665027,-87.716914415359
7430,"31st Street & Hamlin",41.837039687905,-87.719382047653
7431,"31st Street & Springfield",41.836967746678,-87.72175848484
7441,"31st Street & Kildare",41.836776666668,-87.731783333332
7442,"31st Street & Keeler",41.836791666665,-87.729351666665
7443,"31st Street & Karlov",41.836848333332,-87.726935000001
7445,"31st Street & Pulaski",41.836859834686,-87.724580168724
7446,"31st Street & Springfield",41.836899802111,-87.721989154816
7447,"31st Street & Hamlin",41.836971743415,-87.71955370903
7448,"31st Street & Lawndale",41.837151596319,-87.716978788376
